t, u, x
0.000000, 0.000000, 0.004500
0.010000, 0.452543, 0.004500
0.020000, 0.904196, 0.004500
0.030000, 1.353150, 0.004500
0.040000, 1.797591, 0.004500
0.050000, 2.235702, 0.004500
0.060000, 2.665677, 0.004500
0.070000, 3.085723, 0.004750
0.080000, 3.494071, 0.004750
0.090000, 3.888980, 0.005250
0.100000, 4.268751, 0.005500
0.110000, 4.631727, 0.005750
0.120000, 4.976308, 0.006000
0.130000, 5.300951, 0.006750
0.140000, 5.604183, 0.007750
0.150000, 5.884609, 0.008750
0.160000, 6.140912, 0.010000
0.170000, 6.371869, 0.011500
0.180000, 6.576348, 0.013500
0.190000, 6.753323, 0.015500
0.200000, 6.901875, 0.017500
0.210000, 7.021197, 0.020000
0.220000, 7.110601, 0.022000
0.230000, 7.169524, 0.024000
0.240000, 7.197529, 0.026500
0.250000, 7.194308, 0.029000
0.260000, 7.159693, 0.031750
0.270000, 7.093647, 0.034250
0.280000, 6.996275, 0.036750
0.290000, 6.867823, 0.039500
0.300000, 6.708676, 0.042000
0.310000, 6.519361, 0.044500
0.320000, 6.300549, 0.047250
0.330000, 6.053048, 0.050000
0.340000, 5.777803, 0.053000
0.350000, 5.475898, 0.055500
0.360000, 5.148547, 0.058500
0.370000, 4.797096, 0.061000
0.380000, 4.423012, 0.063750
0.390000, 4.027881, 0.066250
0.400000, 3.613407, 0.068750
0.410000, 3.181397, 0.071250
0.420000, 2.733757, 0.073250
0.430000, 2.272488, 0.075750
0.440000, 1.799674, 0.078000
0.450000, 1.317472, 0.080000
0.460000, 0.828111, 0.082000
0.470000, 0.333867, 0.084250
0.480000, -0.162928, 0.086250
0.490000, -0.659918, 0.088250
0.500000, -1.154711, 0.090250
0.510000, -1.644914, 0.091750
0.520000, -2.128124, 0.093500
0.530000, -2.601955, 0.095000
0.540000, -3.064039, 0.096250
0.550000, -3.512040, 0.097500
0.560000, -3.943679, 0.098750
0.570000, -4.356730, 0.099250
0.580000, -4.749033, 0.099500
0.590000, -5.118519, 0.099500
0.600000, -5.463207, 0.099250
0.610000, -5.781225, 0.098500
0.620000, -6.070820, 0.097750
0.630000, -6.330363, 0.096750
0.640000, -6.558355, 0.095250
0.650000, -6.753461, 0.093750
0.660000, -6.914487, 0.092750
0.670000, -7.040409, 0.091250
0.680000, -7.130373, 0.089250
0.690000, -7.183707, 0.087500
0.700000, -7.199919, 0.085500
0.710000, -7.178709, 0.083500
0.720000, -7.119971, 0.081500
0.730000, -7.023795, 0.079500
0.740000, -6.890471, 0.076750
0.750000, -6.720487, 0.074250
0.760000, -6.514535, 0.072250
0.770000, -6.273503, 0.069750
0.780000, -5.998481, 0.067000
0.790000, -5.690745, 0.064500
0.800000, -5.351767, 0.061750
0.810000, -4.983205, 0.059500
0.820000, -4.586889, 0.057250
0.830000, -4.164818, 0.054750
0.840000, -3.719160, 0.052750
0.850000, -3.252220, 0.050250
0.860000, -2.766466, 0.047750
0.870000, -2.264468, 0.045250
0.880000, -1.748938, 0.043000
0.890000, -1.222663, 0.041000
0.900000, -0.688540, 0.039000
0.910000, -0.149526, 0.037250
0.920000, 0.391371, 0.035500
0.930000, 0.931080, 0.033500
0.940000, 1.466531, 0.031500
0.950000, 1.994643, 0.029750
0.960000, 2.512339, 0.028500
0.970000, 3.016585, 0.027000
0.980000, 3.504378, 0.025750
0.990000, 3.972808, 0.025500
1.000000, 4.419032, 0.025500
1.010000, 4.840307, 0.025500
1.020000, 5.234025, 0.025500
1.030000, 5.597708, 0.025500
1.040000, 5.929030, 0.026250
1.050000, 6.225844, 0.026750
1.060000, 6.486180, 0.027750
1.070000, 6.708276, 0.029250
1.080000, 6.890579, 0.031000
1.090000, 7.031760, 0.032500
1.100000, 7.130732, 0.033750
