t, theta
3.120000, 0.000000
3.130000, -0.005600
3.140000, -0.005600
3.150000, -0.005600
3.160000, -0.005600
3.170000, -0.005600
3.180000, -0.011200
3.190000, -0.005600
3.200000, -0.005600
3.210000, -0.005600
3.220000, -0.005600
3.230000, -0.005600
3.240000, -0.005600
3.250000, -0.005600
3.260000, 0.000000
3.270000, -0.005600
3.280000, -0.005600
3.290000, -0.005600
3.300000, -0.005600
3.310000, 0.000000
3.320000, -0.005600
3.330000, -0.005600
3.340000, -0.005600
3.350000, -0.005600
3.360000, -0.005600
3.370000, -0.005600
3.380000, -0.011200
3.390000, 0.000000
3.400000, -0.011200
3.410000, -0.005600
3.420000, -0.005600
3.430000, -0.005600
3.440000, -0.005600
3.450000, -0.005600
3.460000, -0.005600
3.470000, -0.005600
3.480000, 0.000000
3.490000, -0.005600
3.500000, -0.005600
3.510000, -0.005600
3.520000, -0.005600
3.530000, -0.005600
3.540000, 0.000000
3.550000, -0.005600
3.560000, 0.005600
3.570000, -0.005600
3.580000, 0.005600
3.590000, -0.005600
3.600000, 0.000000
3.610000, 0.005600
3.620000, 0.005600
3.630000, 0.005600
3.640000, 0.005600
3.650000, 0.005600
3.660000, 0.005600
3.670000, 0.005600
3.680000, 0.016800
3.690000, 0.016800
3.700000, 0.016800
3.710000, 0.028000
3.720000, 0.028000
3.730000, 0.028000
3.740000, 0.028000
3.750000, 0.033600
3.760000, 0.039200
3.770000, 0.039200
3.780000, 0.033600
3.790000, 0.039200
3.800000, 0.039200
3.810000, 0.039200
3.820000, 0.044800
3.830000, 0.050400
3.840000, 0.061600
3.850000, 0.061600
3.860000, 0.067200
3.870000, 0.072800
3.880000, 0.072800
3.890000, 0.084000
3.900000, 0.084000
3.910000, 0.095200
3.920000, 0.095200
3.930000, 0.106400
3.940000, 0.117600
3.950000, 0.117600
3.960000, 0.134400
3.970000, 0.140000
3.980000, 0.162400
3.990000, 0.162400
4.000000, 0.173600
4.010000, 0.190400
4.020000, 0.201600
4.030000, 0.212800
4.040000, 0.229600
4.050000, 0.246400
4.060000, 0.257600
4.070000, 0.280000
4.080000, 0.296800
4.090000, 0.319200
4.100000, 0.341600
4.110000, 0.364000
4.120000, 0.392000
4.130000, 0.420000
4.140000, 0.448000
4.150000, 0.487200
4.160000, 0.520800
